iter	Passed	Remaining
1414	2544	15436
1415	2546	15434
1416	2549	15442
1417	2551	15439
1418	2552	15436
1419	2554	15434
1420	2556	15432
1421	2558	15432
1422	2560	15432
1423	2563	15435
1424	2565	15435
1425	2566	15432
1426	2568	15428
1427	2569	15425
1428	2571	15422
1429	2572	15419
1430	2574	15418
1431	2576	15415
1432	2578	15412
1433	2579	15409
1434	2581	15406
1435	2582	15403
1436	2584	15400
1437	2586	15398
1438	2587	15395
1439	2589	15393
1440	2591	15391
1441	2593	15389
1442	2594	15388
1443	2596	15383
1444	2598	15381
1445	2599	15377
1446	2601	15374
1447	2603	15374
1448	2604	15371
1449	2606	15367
1450	2607	15363
1451	2609	15361
1452	2610	15357
1453	2612	15355
1454	2614	15351
1455	2615	15348
1456	2617	15347
1457	2619	15344
1458	2620	15341
1459	2622	15338
1460	2623	15335
1461	2625	15333
1462	2627	15330
1463	2628	15327
1464	2630	15325
1465	2632	15323
1466	2633	15320
1467	2635	15316
1468	2636	15313
1469	2638	15310
1470	2640	15307
1471	2641	15304
1472	2643	15300
1473	2645	15300
1474	2646	15297
1475	2648	15294
1476	2649	15290
1477	2651	15287
1478	2652	15283
1479	2654	15281
1480	2656	15278
1481	2657	15276
1482	2659	15273
1483	2661	15271
1484	2662	15268
1485	2664	15264
1486	2665	15262
1487	2667	15260
1488	2669	15259
1489	2671	15256
1490	2673	15255
1491	2674	15253
1492	2676	15251
1493	2678	15250
1494	2680	15248
1495	2682	15247
1496	2683	15244
1497	2685	15241
1498	2687	15239
1499	2689	15238
1500	2690	15235
1501	2692	15232
1502	2693	15229
1503	2695	15227
1504	2697	15224
1505	2698	15221
1506	2701	15222
1507	2702	15219
1508	2704	15217
1509	2706	15215
1510	2707	15212
1511	2709	15210
1512	2711	15207
1513	2713	15208
1514	2715	15208
1515	2717	15205
1516	2718	15202
1517	2720	15201
1518	2722	15198
1519	2736	15266
1520	2738	15265
1521	2740	15263
1522	2741	15260
1523	2743	15260
1524	2745	15260
1525	2747	15258
1526	2749	15256
1527	2751	15254
1528	2753	15253
1529	2755	15252
1530	2756	15250
1531	2761	15266
1532	2763	15264
1533	2765	15262
1534	2767	15259
1535	2768	15256
1536	2770	15253
1537	2772	15252
1538	2774	15250
1539	2775	15248
1540	2777	15244
1541	2778	15241
1542	2780	15238
1543	2781	15235
1544	2783	15233
1545	2785	15231
1546	2787	15230
1547	2788	15227
1548	2790	15224
1549	2792	15222
1550	2793	15220
1551	2795	15216
1552	2797	15214
1553	2798	15211
1554	2800	15208
1555	2802	15206
1556	2803	15203
1557	2805	15201
1558	2807	15199
1559	2808	15197
1560	2810	15194
1561	2812	15191
1562	2814	15190
1563	2815	15187
1564	2817	15184
1565	2819	15182
1566	2820	15179
1567	2822	15178
1568	2823	15174
1569	2825	15172
1570	2827	15169
1571	2829	15167
1572	2830	15165
1573	2832	15163
1574	2834	15160
1575	2835	15156
1576	2837	15153
1577	2839	15152
1578	2841	15152
1579	2843	15152
1580	2844	15149
1581	2846	15147
1582	2848	15144
1583	2850	15143
1584	2851	15141
1585	2853	15138
1586	2855	15138
1587	2857	15137
1588	2859	15135
1589	2861	15133
1590	2862	15131
1591	2864	15129
1592	2866	15128
1593	2868	15128
1594	2870	15127
1595	2872	15125
1596	2874	15124
1597	2876	15122
1598	2877	15118
1599	2879	15117
1600	2881	15114
1601	2883	15113
1602	2884	15110
1603	2886	15108
1604	2887	15104
1605	2889	15102
1606	2891	15102
1607	2893	15099
1608	2894	15096
1609	2896	15094
1610	2898	15092
1611	2900	15092
1612	2902	15090
1613	2904	15088
1614	2905	15087
1615	2908	15087
1616	2910	15088
1617	2912	15086
1618	2913	15084
1619	2916	15085
1620	2918	15083
1621	2919	15081
1622	2921	15080
1623	2923	15079
1624	2925	15077
1625	2927	15076
1626	2929	15074
1627	2931	15073
1628	2933	15072
1629	2934	15069
1630	2936	15067
1631	2938	15066
1632	2940	15064
1633	2942	15063
1634	2944	15062
1635	2945	15060
1636	2947	15059
1637	2949	15056
1638	2951	15055
1639	2953	15053
1640	2955	15054
1641	2957	15053
1642	2959	15054
1643	2962	15055
1644	2964	15057
1645	2966	15056
1646	2968	15054
1647	2970	15053
1648	2972	15051
1649	2974	15052
1650	2976	15049
1651	2978	15053
1652	2980	15051
1653	2982	15050
1654	2984	15049
1655	2986	15047
1656	2988	15045
1657	2990	15044
1658	2992	15043
1659	2993	15040
1660	2995	15037
1661	2996	15035
1662	2998	15032
1663	3000	15030
1664	3002	15028
1665	3003	15025
1666	3006	15029
1667	3008	15026
1668	3009	15023
1669	3011	15023
1670	3013	15021
1671	3015	15020
1672	3017	15017
1673	3019	15017
1674	3021	15018
1675	3023	15018
1676	3025	15016
1677	3027	15014
1678	3029	15013
1679	3031	15011
1680	3033	15011
1681	3035	15012
1682	3037	15011
1683	3039	15009
1684	3041	15006
1685	3042	15005
1686	3044	15002
1687	3046	15000
1688	3048	15002
1689	3050	15001
1690	3052	15000
1691	3054	14996
1692	3056	14995
1693	3058	14994
1694	3059	14992
